2022.03.09 07:05:44 INFO  web[][o.s.s.e.IndexCreator] Create type tests/test
2022.03.09 07:05:44 INFO  web[][o.s.s.e.IndexCreator] Create index projectmeasures
2022.03.09 07:05:44 INFO  web[][o.s.s.e.IndexCreator] Create type projectmeasures/projectmeasure
2022.03.09 07:05:44 INFO  web[][o.s.s.e.IndexCreator] Create type projectmeasures/authorization
2022.03.09 07:05:44 INFO  web[][o.s.s.e.IndexCreator] Create index rules
2022.03.09 07:05:45 INFO  web[][o.s.s.e.IndexCreator] Create type rules/activeRule
2022.03.09 07:05:45 INFO  web[][o.s.s.e.IndexCreator] Create type rules/ruleExtension
2022.03.09 07:05:45 INFO  web[][o.s.s.e.IndexCreator] Create type rules/rule
2022.03.09 07:05:45 INFO  web[][o.s.s.e.IndexCreator] Create index issues
2022.03.09 07:05:45 INFO  web[][o.s.s.e.IndexCreator] Create type issues/issue
2022.03.09 07:05:45 INFO  web[][o.s.s.e.IndexCreator] Create type issues/authorization
2022.03.09 07:05:45 INFO  web[][o.s.s.e.IndexCreator] Create index users
2022.03.09 07:05:45 INFO  web[][o.s.s.e.IndexCreator] Create type users/user
2022.03.09 07:05:45 INFO  web[][o.s.s.e.IndexCreator] Create index views
2022.03.09 07:05:45 INFO  web[][o.s.s.e.IndexCreator] Create type views/view
2022.03.09 07:05:45 INFO  web[][o.s.s.s.LogServerId] Server ID: BF41A1F2-AX9tf2yYEv35MTpNoiu6
2022.03.09 07:05:45 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/plugins/download
2022.03.09 07:05:45 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/security_reports/show
2022.03.09 07:05:45 INFO  web[][o.s.s.t.TelemetryDaemon] Sharing of SonarQube statistics is enabled.
2022.03.09 07:05:45 INFO  web[][o.s.s.n.NotificationDaemon] Notification service started (delay 60 sec.)
2022.03.09 07:05:45 INFO  web[][o.s.s.s.GeneratePluginIndex] Generate scanner plugin index
2022.03.09 07:05:45 INFO  web[][o.s.s.s.RegisterPlugins] Register plugins
2022.03.09 07:05:45 INFO  web[][o.s.s.s.RegisterMetrics] Register metrics
2022.03.09 07:05:46 INFO  web[][o.s.s.q.RegisterQualityGates] Built-in quality gate's conditions of [Sonar way] has been updated
2022.03.09 07:05:46 INFO  web[][o.s.s.r.RegisterRules] Register rules
2022.03.09 07:06:00 INFO  web[][o.s.s.q.BuiltInQProfileRepositoryImpl] Load quality profiles
2022.03.09 07:06:01 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register quality profiles
2022.03.09 07:06:01 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile cs/Sonar way
2022.03.09 07:06:04 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile css/Sonar way
2022.03.09 07:06:04 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile java/Sonar way
2022.03.09 07:06:04 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile flex/Sonar way
2022.03.09 07:06:04 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile xml/Sonar way
2022.03.09 07:06:04 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile go/Sonar way
2022.03.09 07:06:04 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile kotlin/Sonar way
2022.03.09 07:06:04 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile js/Sonar way Recommended
2022.03.09 07:06:04 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile js/Sonar way
2022.03.09 07:06:04 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile php/PSR-2
2022.03.09 07:06:05 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile php/Drupal
2022.03.09 07:06:05 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile php/Sonar way
2022.03.09 07:06:05 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile py/Sonar way
2022.03.09 07:06:05 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile ts/Sonar way
2022.03.09 07:06:05 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile ts/Sonar way recommended
2022.03.09 07:06:05 INFO  web[][o.s.s.s.RegisterPermissionTemplates] Register permission templates
2022.03.09 07:06:05 INFO  web[][o.s.s.s.RenameDeprecatedPropertyKeys] Rename deprecated property keys
2022.03.09 07:06:05 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.WebServiceFilter@1bccd86b [pattern=UrlPattern{inclusions=[/api/issues/delete_comment.*, ...], exclusions=[/api/properties*, ...]}]
2022.03.09 07:06:05 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.DeprecatedPropertiesWsFilter@2954eb5f [pattern=UrlPattern{inclusions=[/api/properties/*], exclusions=[]}]
2022.03.09 07:06:05 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.WebServiceReroutingFilter@2f067f83 [pattern=UrlPattern{inclusions=[/api/components/bulk_update_key, ...], exclusions=[]}]
2022.03.09 07:06:05 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.InitFilter@93e394f [pattern=UrlPattern{inclusions=[/sessions/init/*], exclusions=[]}]
2022.03.09 07:06:05 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.OAuth2CallbackFilter@54886124 [pattern=UrlPattern{inclusions=[/oauth2/callback/*], exclusions=[]}]
2022.03.09 07:06:05 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LoginAction@3e29f65f [pattern=UrlPattern{inclusions=[/api/authentication/login], exclusions=[]}]
2022.03.09 07:06:05 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LogoutAction@16406c95 [pattern=UrlPattern{inclusions=[/api/authentication/logout], exclusions=[]}]
2022.03.09 07:06:05 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.ValidateAction@b3f6eb0 [pattern=UrlPattern{inclusions=[/api/authentication/validate], exclusions=[]}]
2022.03.09 07:06:05 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [rules/activeRule] ...
2022.03.09 07:06:07 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [rules/activeRule] done | time=1604ms
2022.03.09 07:06:07 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of types [rules/ruleExtension],[rules/rule] ...
2022.03.09 07:06:11 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of types [rules/ruleExtension],[rules/rule] done | time=3895ms
2022.03.09 07:06:11 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [users/user] ...
2022.03.09 07:06:11 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [users/user] done | time=175ms
2022.03.09 07:06:11 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [components/component] ...
